index,City,State,lat,lon,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Rent,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson,Crime Rate per 1000,Crime Rating,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Air Quality Index,Diversity Index,Nearest
3,Conway,AR,35.0754,-92.4694,82431,40485,41936,5.1,76.2,14.9,0.3,1.1,0.2,30933.4,5323.4,15551.0,2698.9,502.4,566.6,40133,150.3,79.0,14.9,5.5,0.1,903.9,512.9,666.6,277.2,314.3,80.7,10.2,0.1,2.8,2.1,3.4,22.0,898,2020,67336,324,2,49,51,222,1842,177,1567,98,8,32.17,Medium,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,0.3944245180152857,"4,169,268,223,232"
4,Conway,AR,35.0754,-92.4694,82431,40485,41936,5.1,76.2,14.9,0.3,1.1,0.2,30933.4,5323.4,15551.0,2698.9,502.4,566.6,40133,150.3,79.0,14.9,5.5,0.1,903.9,512.9,666.6,277.2,314.3,80.7,10.2,0.1,2.8,2.1,3.4,22.0,703,2020,67336,324,2,49,51,222,1842,177,1567,98,8,32.17,Medium,275,207,66,2,0,0,0,132,59,42,1,4,138,0,132,0,Good,0.3944245180152857,"3,169,268,232,125"
84,Daytona Beach,FL,29.1994,-81.0982,93227,45996,47220,6.5,63.8,22.4,0.2,2.0,0.1,24772.6,4568.7,16350.2,3290.0,879.5,1109.8,37482,300.1,84.2,9.1,4.5,0.1,1048.0,894.0,944.5,373.6,450.3,77.4,7.7,2.2,2.3,3.8,4.2,19.3,1110,2020,69834,794,13,18,109,654,2833,380,2213,240,10,51.94,High,182,160,22,0,0,0,0,77,53,42,0,0,115,0,67,0,Good,0.5381552362002017,"85,94,193,194,92"
85,Daytona Beach,FL,29.1994,-81.0982,93227,45996,47220,6.5,63.8,22.4,0.2,2.0,0.1,24772.6,4568.7,16350.2,3290.0,879.5,1109.8,37482,300.1,84.2,9.1,4.5,0.1,1048.0,894.0,944.5,373.6,450.3,77.4,7.7,2.2,2.3,3.8,4.2,19.3,1110,2020,4579,9,0,0,2,7,107,19,80,8,0,25.33,Low,182,160,22,0,0,0,0,77,53,42,0,0,115,0,67,0,Good,0.5381552362002017,"84,94,194,92,80"
120,Des Moines,IA,41.5725,-93.6105,220842,109608,111204,12.6,67.8,9.5,0.2,4.8,0.1,31776.0,5017.5,16703.9,2319.5,1595.1,2247.5,113536,589.4,84.2,9.1,3.8,0.1,2660.5,1866.2,2249.0,756.5,1259.8,79.8,9.4,2.0,3.0,1.1,2.8,17.5,957,2020,218384,1555,14,117,283,1141,8933,2284,5336,1313,53,48.03,High,305,263,40,0,2,0,0,186,54,36,0,6,187,0,112,0,Good,0.5131080970109718,"121,320,150,138,136"
121,Des Moines,IA,41.5725,-93.6105,220842,109608,111204,12.6,67.8,9.5,0.2,4.8,0.1,31776.0,5017.5,16703.9,2319.5,1595.1,2247.5,113536,589.4,84.2,9.1,3.8,0.1,2660.5,1866.2,2249.0,756.5,1259.8,79.8,9.4,2.0,3.0,1.1,2.8,17.5,921,2020,218384,1555,14,117,283,1141,8933,2284,5336,1313,53,48.03,High,305,263,40,0,2,0,0,186,54,36,0,6,187,0,112,0,Good,0.5131080970109718,"120,320,150,138,136"
153,Wichita,KS,37.6896,-97.3442,412090,203236,208770,15.6,64.2,9.7,0.6,3.8,0.0,25552.7,3850.9,12911.3,1743.0,3547.2,4645.9,195808,1193.3,81.2,10.0,4.1,0.1,6879.4,3471.1,4466.9,2050.0,2620.4,81.4,8.0,0.6,1.5,1.5,2.5,16.0,902,2020,390080,4451,35,367,461,3588,20759,2677,15777,2305,125,64.63,High,182,144,34,4,0,0,0,117,60,41,0,1,131,0,49,1,Good,0.5526121929728771,"154,293,286,399,211"
154,Wichita,KS,37.6896,-97.3442,412090,203236,208770,15.6,64.2,9.7,0.6,3.8,0.0,25552.7,3850.9,12911.3,1743.0,3547.2,4645.9,195808,1193.3,81.2,10.0,4.1,0.1,6879.4,3471.1,4466.9,2050.0,2620.4,81.4,8.0,0.6,1.5,1.5,2.5,16.0,718,2020,390080,4451,35,367,461,3588,20759,2677,15777,2305,125,64.63,High,182,144,34,4,0,0,0,117,60,41,0,1,131,0,49,1,Good,0.5526121929728771,"153,293,286,211,399"
188,Flint,MI,43.0235,-83.6922,155685,74873,80776,3.1,46.4,44.9,0.4,0.4,0.0,18475.2,3269.0,10550.1,1932.0,3039.8,4283.5,53482,1739.1,86.0,8.5,3.6,0.1,1961.5,2491.4,2111.9,638.5,1827.3,79.6,10.1,3.3,1.8,0.6,2.2,22.3,833,2020,95212,1284,23,64,78,1119,1986,559,1220,207,25,34.34,Medium,182,161,20,1,0,0,0,126,51,38,0,0,128,0,54,0,Good,0.5821134307314818,"189,195,197,198,113"
189,Flint,MI,43.0235,-83.6922,155685,74873,80776,3.1,46.4,44.9,0.4,0.4,0.0,18475.2,3269.0,10550.1,1932.0,3039.8,4283.5,53482,1739.1,86.0,8.5,3.6,0.1,1961.5,2491.4,2111.9,638.5,1827.3,79.6,10.1,3.3,1.8,0.6,2.2,22.3,833,2020,30319,241,2,30,36,173,1018,0,936,82,9,41.53,High,182,161,20,1,0,0,0,126,51,38,0,0,128,0,54,0,Good,0.5821134307314818,"188,197,198,195,367"
193,Kalamazoo,MI,42.2749,-85.5882,159397,77982,81383,6.2,71.3,14.0,0.1,2.0,0.0,25067.5,3683.3,13817.7,2088.4,1547.7,1730.8,79173,508.1,83.2,10.1,5.0,0.1,2272.3,1380.5,1455.4,361.8,884.9,78.6,7.1,1.9,3.9,1.8,3.4,18.0,941,2020,76827,949,9,110,182,648,3578,703,2546,329,44,58.92,High,181,159,18,4,0,0,0,115,54,39,0,0,122,0,59,0,Good,0.4677885332254259,"194,94,196,84,195"
